userId,productId,productScore
10108,124,3.2
10108,195,3.4
10108,134,3.2
10108,1,3.6
10108,131,2.6
10108,190,3.9
10108,153,3.2
10108,174,3.3
10108,169,2.4
10108,50,1.9
10108,101,3.5
10108,3,2.4
10108,117,3.4
10108,154,2.9
10108,197,3.7
10108,142,2.2
10108,74,4.2
10108,15,2
10108,66,3.3
10108,27,3.2
10108,191,2.3
10108,193,2.9
10108,192,3.4
10108,120,2.8
10108,149,3.2
10108,60,2.9
10108,21,1.7
10108,196,3.7
10108,85,4.7
10108,16,1.5
10108,114,3.8
10108,84,4.5
10108,171,2.4
10108,156,1.4
10108,43,3.6
10108,184,2.3
10108,178,2.6
10630,80,1.4
10630,179,4
10630,124,3.2
10630,100,3.1
10630,129,3.4
10630,12,3.2
10630,141,3.5
10630,158,2.7
10630,85,4.7
10630,8,2.3
10630,10,3.5
10630,23,4.6
10630,119,2.8
10630,67,2.4
10630,199,3.8
10630,157,4.1
10630,25,2.9
10630,162,3.3
10630,64,1.5
10630,6,3.1
10630,71,3.1
10630,91,4.2
10630,123,3.2
10630,135,2.6
10630,14,2.9
10630,88,2.7
10630,197,3.7
10630,195,3.4
10630,70,2.6
10630,63,2.6
10630,134,3.2
10630,86,2.5
10630,172,3.1
10630,29,2.7
10630,191,2.3
10630,18,3
10630,78,2.2
10630,118,2.8
10630,176,2.8
10630,152,2.1
10630,109,3.9
10630,174,3.3
10630,93,2.1
10630,138,3.2
10630,144,3.3
10630,66,3.3
10630,22,2.3
10630,173,2.7
10630,99,1.5
10630,156,1.4
10630,60,2.9
10630,110,1.7
10630,154,2.9
10630,32,2.2
10630,142,2.2
10630,65,3.4
10630,167,4.1
10630,125,2.5
10630,50,1.9
10367,96,3.2
10367,174,3.3
10367,45,3.1
10367,151,2
10367,157,4.1
10367,104,2
10367,158,2.7
10367,146,1.8
10367,20,3.5
10367,22,2.3
10367,137,2.2
10367,65,3.4
10367,144,3.3
10367,60,2.9
10367,42,3.6
10367,181,1.5
10367,175,1.1
10367,68,3.5
10367,5,3.8
10367,31,3.1
10367,182,2.5
10367,30,4.3
10367,19,4
10367,140,2.9
10367,49,2.8
10367,86,2.5
10367,123,3.2
10367,61,3.4
10367,38,3.1
10367,117,3.4
10367,91,4.2
10367,156,1.4
10367,24,2.8
10367,120,2.8
10367,76,3
10367,64,1.5
10367,165,3.6
10367,150,2.8
10367,73,2.5
10367,67,2.4
10367,32,2.2
10367,119,2.8
10367,97,2.7
10367,79,3.4
10367,75,3.5
10367,196,3.7
10367,93,2.1
10367,63,2.6
10367,62,3.4
10367,72,3.6
10367,6,3.1
10367,153,3.2
10367,149,3.2
10367,190,3.9
10367,166,3.3
10367,176,2.8
10367,18,3
10367,14,2.9
10367,115,2.7
10367,85,4.7
10367,12,3.2
10367,108,2.7
10367,25,2.9
10367,147,3.1
10367,50,1.9
10367,198,3.4
10367,88,2.7
10367,148,2.3
10367,162,3.3
10685,35,2.8
10685,81,3
10685,95,4.3
10685,36,2.5
10685,155,2.2
10685,112,3
10685,86,2.5
10685,65,3.4
10685,111,3.6
10685,159,3
10685,39,2.4
10685,166,3.3
10685,169,2.4
10685,145,3.2
10685,54,2.5
10685,57,2.3
10685,132,1.7
10685,2,4
10685,9,3
10685,117,3.4
10685,157,4.1
10685,186,3.3
10685,144,3.3
10685,71,3.1
10685,70,2.6
10685,175,1.1
10685,42,3.6
10685,28,3.2
10685,100,3.1
10685,61,3.4
10685,26,2.3
10685,192,3.4
10685,102,4.1
10685,104,2
10685,84,4.5
10685,126,3.1
10685,85,4.7
10685,191,2.3
